category,reference_number,date_logged,request_status,issue_description,service,address
Electricity,9121367206,2025-12-05,Closed,Street lights not working on Glynn Street nearest corner Buitenkant Street. The street lights are on the Glynn Street side in front of their gate,Street Lights - Single Light Out,89 CLINIC ROBBIE NURROCK CDC CAPE TOWN CITY CENTRE
Waste Management,9121367812,2025-12-05,Closed,Dumping opposite 6A Wesley street Lower Gardens.,Street Sweeping,6 WESLEY ST GARDENS GARDENS
Water & Sanitation,9121370148,2025-12-05,Closed,Missing storm water cover along Vrede Street nearest corner Barnet at 11 Vrede Street,Missing Cover Valve,16 TUIN PLEIN UNKNOWN CAPE TOWN CITY CENTRE
Water & Sanitation,9121370254,2025-12-05,In Progress,Water reinstatement needed along Vrede Street nearest corner St John's at 11 Vrede Street,WAT: Re-Instatement after water incident,0 VREDE STREET GARDENS GARDENS
Roads & Infrastructure,9121370299,2025-12-05,Closed,Broken curb outside 32 Barnet Street (Dunkley House) nearest corner Vrede Street,Lowering of Kerbs and Pavements,32 BARNET STREET UNKNOWN GARDENS
Water & Sanitation,9121370348,2025-12-05,Closed,Missing water meter cover along Gordon Street at 4 Gordan Street nearest corner Wandel Street,Missing Cover Valve,4 GORDON STREET UNKNOWN GARDENS
Roads & Infrastructure,9121370439,2025-12-05,Closed,Broken kerb along Gordon Street at 13 Gordon Street nearest corner Courville Street,Lowering of Kerbs and Pavements,"13 GORDON STREET GARDENS, CAPE TOWN GARDENS"
Water & Sanitation,9121370492,2025-12-05,In Progress,Reinstatement needed along Courville nearest corner Hopeville at number 5 Courville Road,WAT: Re-Instatement after water incident,5 COURVILLE STREET UNKNOWN GARDENS
Roads & Infrastructure,9121371284,2025-12-05,Closed,Defect in the pavement along Wandel Street nearest corner Courville opposite number 18 Wandel,Defect Road Foot Bic Way/Kerbs,18A WANDEL STREET GARDENS GARDENS
Roads & Infrastructure,9121371839,2025-12-05,In Progress,"Between Scott & Solan street, the stop signs need to be repainted.",Paint Markings Lines & Signs,23 SCOTT STREET UNKNOWN GARDENS
Roads & Infrastructure,9121371848,2025-12-05,Closed,Potholes at the stop sign between Scott & Solan street.,Road - Pothole repair,23 SCOTT STREET UNKNOWN GARDENS
Roads & Infrastructure,9121371962,2025-12-05,In Progress,"Glynn and Hope,The stop sign needs repainting.",Paint Markings Lines & Signs,39 HOPE STREET CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121373725,2025-12-06,Closed,Potholes in corner of Roeland and buitenkant,Road - Pothole repair,46 ROELAND STREET UNKNOWN CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121373734,2025-12-06,Closed,"Between Glynn and Hope Street, the stop sign needs repainting.",Paint Markings Lines & Signs,85 HOPE STREET UNKNOWN CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121373747,2025-12-06,Closed,The pedestrian pole sign is not straight between Glynn & Hope street.,Traffic sign - Damage,85 HOPE STREET UNKNOWN CAPE TOWN CITY CENTRE
Waste Management,9121373761,2025-12-06,Closed,Rubbish only no new structures in Wesley street between Buitenkant and hope street,Street Sweeping,6 WESLEY STREET GARDENS GARDENS
Waste Management,9121373773,2025-12-06,New,In Wesley between Buitenkant and Hope.This rubbish came out of the white building and the other one comes from the 2 old structures that are destroyed.,Building rubble on pavement,0 WESLEY ROAD GARDENS GARDENS
Waste Management,9121373789,2025-12-06,Closed,Waste removal needed between Jutland Park & Upper Mill street.,Street Sweeping,29 SCOTT STREET UNKNOWN GARDENS
Roads & Infrastructure,9121373796,2025-12-06,Closed,Large pothole between Hope & Roodehek Street.,Road - Pothole repair,101 HOPE STREET GARDENS GARDENS
Waste Management,9121376510,2025-12-08,Closed,Two plastic bags with rubbish on the Conner of hope and Tuin Plein Street,Illegal Dumping,0 CORNER HOPE AND TUIN CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Waste Management,9121376531,2025-12-08,Closed,Three plastic bags with rubbish on the Conner of Vrede and Tuin Plain street,Illegal Dumping,0 CORNER TUIN AND VREDE GARDENS GARDENS
Traffic,9121380755,2025-12-08,Closed,Illegal ranking along Mill Street outside Jack Hammers nearest corner Buitenkant Street,Illegal Ranking,Unknown JACK HAMMER'S HOME IMPROVEMENT & HARDWARE STORE GARDENS GARDENS
Environmental Health,9121381875,2025-12-08,Closed,Material needs to be removed along Wesley Street with the nearest corner Buitenkant Street,Health Hazard - Accumulation of material,6 WESLEY ST GARDENS GARDENS
Environmental Health,9121381956,2025-12-08,Closed,Material needs to be removed along Buitenkant Street with the nearest corner Roeland Street,Health Hazard - Accumulation of material,34 ROELAND STREET CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Waste Management,9121383820,2025-12-08,Closed,Dumping of rubbish at Roodehek and Maynard Street,Health Hazard - Unhygienic disposal of a,0 CORNER MAYNARD AND ROODEHEK GARDENS GARDENS
Electricity,9121383833,2025-12-08,Closed,All Street lights are off at Maynard Street,Street Lights - All Lights Out,0 MAYNARD ROAD GARDENS GARDENS
Electricity,9121383858,2025-12-08,Closed,All Street lights are off at Maynard Street,Street Lights - All Lights Out,"16 SCOTT STREET GARDENS, CAPE TOWN GARDENS"
Waste Management,9121384160,2025-12-09,Closed,dumping of rubbish at Buitnkant and Glynn Street,Health Hazard - Unhygienic disposal of a,0 BUITENKANT STREET GARDENS GARDENS
Electricity,9121389550,2025-12-09,Closed,In corner of Maynard and wesley street plasting need to be removed in electic wire,Wires Down,0 CORNER MAYNARD AND WESLEY GARDENS GARDENS
Electricity,9121392035,2025-12-09,Closed,All Street lights are off at Courville Street,Street Lights - All Lights Out,0 COURVILLE STREET GARDENS GARDENS
Electricity,9121400649,2025-12-10,Closed,All Street lights are off at Glynville and Barnet Street.,Street Lights - All Lights Out,0 CORNER GLYNVILLE AND WANDEL GARDENS GARDENS
Waste Management,9121411933,2025-12-12,Closed,Rubish dumped on the corner of Hope & Tuin Plein street.,Street Sweeping,27 CAMERON LANE UNKNOWN CAPE TOWN CITY CENTRE
Waste Management,9121419941,2025-12-14,Closed,Illegal dumping on the corner of Incolm & Wandel street.,Street Sweeping,4 INCHOLM PLACE GARDENS GARDENS
Waste Management,9121420348,2025-12-14,Closed,Illegal dumping on the corner of corner of Buitenkant and Glynn.,Health Hazard - Unhygienic disposal of a,0 CORNER BUITENKANT AND GLYNN CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Parks & Recreation,9121429989,2025-12-16,Assigned,"Tress stump needs removal in Buitenkant street, people are uritating around the area",Tree Removal,187 UPPER BUITENKANT STREET UNKNOWN VREDEHOEK
Roads & Infrastructure,9121430016,2025-12-16,Assigned,Reinstatement of the kerb & paving along Harrington & Roeland street.,Lowering of Kerbs and Pavements,110 HARRINGTON STREET UNKNOWN CAPE TOWN CITY CENTRE
Traffic,9121424241,2025-12-15,Closed,Illegal ranking along Mill Street outside Jack Hammers nearest corner Buitenkant Street,Illegal Ranking,Unknown JACK HAMMER'S HOME IMPROVEMENT & HARDWARE STORE GARDENS GARDENS
Parks & Recreation,9121429985,2025-12-16,Closed,Corner of Barnet & Dunkley Square at the Government municipality paving is very uneven.,Defect Road Foot Bic Way/Kerbs,10 WANDEL STREET GARDENS GARDENS
Electricity,9121438721,2025-12-18,Closed,All street lights out at Gordon and Wandel Street,Street Lights - All Lights Out,18A WANDEL STREET UNKNOWN GARDENS
Waste Management,912148721,2025-12-30,Completed,Illegal dumping in Hope Street,ZMLR611- Owner,30 Via Firenze Rosedale Estate
Waste Management,9121438822,2025-12-18,Closed,Illegal dumping next to number 14 Scot Street,Health Hazard - Unhygienic disposal of a,"14 SCOTT STREET GARDENS, CAPE TOWN GARDENS"
Law Enforcement,9121440463,2025-12-18,Closed,Removal of vagrant along Hope street corner of Bouquet street,Vagrants,"16 BOUQUET STREET CAPE TOWN CITY CENTRE, CAPE TOWN CAPE TOWN CITY CENTRE"
Law Enforcement,9121452065,2025-12-19,Closed,Graffiti removal at 9 Vrede street nearest corner of Tuin plein,Grafitti,0 CORNER TUIN AND VREDE GARDENS GARDENS
Water & Sanitation,9121452101,2025-12-19,Assigned,Water reinstatement at 9 Vrede street nearest corner of St Johns street,WAT: Re-Instatement after water incident,0 CORNER ST JOHNS AND VREDE CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Water & Sanitation,9121452139,2025-12-19,In Progress,Water reinstatement needed along Vrede street at Vrede street at 6 corner of St Johns street,WAT: Re-Instatement after water incident,6 VREDE AVE GARDENS GARDENS
Parks & Recreation,9121452214,2025-12-19,Assigned,Tree touching the boundary fence at number 74 St Johns nearest corner of Vrede,Bush Clearing,0 CORNER ST JOHNS AND VREDE CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Roads & Infrastructure,9121452272,2025-12-19,Closed,Pothole outside number 103 Hatfield street nearest corner of Dunkely street,Road - Pothole repair,0 CORNER DUNKLEY AND HATFIELD GARDENS GARDENS
Law Enforcement,9121452305,2025-12-19,Closed,Graffiti removal at number 129 Hatfield street nearest corner of Wandel street,Grafitti,129 HATFIELD ST GARDENS GARDENS
Law Enforcement,9121452368,2025-12-19,Closed,Graffiti removal needed at 137 Hatfield street nearest corner of Wandel street,Grafitti,137 HATFIELD ST GARDENS GARDENS
Parks & Recreation,9121452439,2025-12-19,Closed,Tree trimming needed at 143 Hatfield street nearest corner of Annandale,Tree Trimming,143 HATFIELD ST GARDENS GARDENS
Roads & Infrastructure,9121452582,2025-12-19,Closed,Missing drain cover 5 Courville street nearest corner of Hopeville,Defect Road Foot Bic Way/Kerbs,0 CORNER COURVILLE AND HOPEVILLE GARDENS GARDENS
Roads & Infrastructure,9121452586,2025-12-19,Closed,Road reinstatement needed at 5 Courville street nearest corner of Hopeville street,Defect Road Foot Bic Way/Kerbs,0 CORNER COURVILLE AND HOPEVILLE GARDENS GARDENS
Roads & Infrastructure,9121452580,2025-12-19,Assigned,Road markings needed atv 4 Incholm place nearest corner of Wandel street,Traffic sign - Missing,0 CORNER INCHOLM AND WANDEL GARDENS GARDENS
Electricity,9121455236,2025-12-20,Closed,"Street lights are not working in Buitenkant street,Glynn street corner of Hope street",Street Lights - All Lights Out,0 CORNER BUITENKANT AND GLYNN CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
Waste Management,9121458376,2025-12-22,Closed,Illegal dumping on the corner of Brandweer & Roeland street.,Street Sweeping,86 ROELAND STREET UNKNOWN GARDENS
Waste Management,,2025-12-22,,Illegal dumping on the corner of Hope & Tuin Plein street.,,
Waste Management,9121474671,2025-12-28,Closed,Illegal dumping on the corner of Buitenkant & Glynn street.,Health Hazard - Unhygienic disposal of a,0 CORNER BUITENKANT AND GLYNN CAPE TOWN CITY CENTRE CAPE TOWN CITY CENTRE
